Customer1 아메리카노 5       기본메뉴가 제일 맛있네요
Customer44 눈사람케이크 5       아들램이 넘 좋아해요~~ 너무 맛있고 가격도 착한듯~
Customer87 유자민트티 5       누가 유자민트티 별로라했냐. 존맛탱인디.
Customer61 제주녹차초코빙수 5       녹차랑 초코랑 만나서 더 맛있어요. 초코나무숲보다 맛있음.
Customer2 자몽에이드 5       자몽은 언제나 진리라니까요? 진짜 ㅇㄱㄹㅇ ㅂㅂㅂㄱ
Customer10 쿠키앤크림케이크 5       먹다보면 질릴 것 같았는데 질리지않아요. 맛있고 달달해요.
Customer4 헤이즐넛아메리카노 4       쓸 줄 알았는데 달아서 좀 놀랐어요. 그치만 나쁘지 않았습니다.
Customer10 콜드브루 4       저는 나쁘지 않았어요.
Customer16 키위스무디 4       키위가 좀 더 많이 씹혔으면 좋겠어요. 나머진 대만족~!
Customer21 캐모마일 4       여자친구랑 먹었습니다. 좋네요.
Customer25 쿠키앤크림프라푸치노 4       위에 오레오? 같은 과자 올려주시는데 바삭바삭할 때 하나 먹고 눅었을 때 하나 먹었는데 제 취향은,,,60초 후에 공개합니다.
Customer30 플레인요거트스무디 4       이게 무슨 말이 필요한가요? 원래 맛있는 거잖아요.
Customer32 돌체라떼 4       돌체돌체~라떼라떼~맛있어요! 최고!
Customer35 바닐라라떼 4       바닐라라떼 생각보다 맛있네요. 카페에서 아직 안 먹어본 메뉴가 많더라고요. 하나하나 시켜먹어봐야겠어요.
Customer40 콜드브루콘파냐 4       생각보다 썼어요..
Customer42 복숭아아이스티 4       아이가 좋아해서 매번 사줘요~ 그런데 얼음이 너무 많아서 가격이 비싼 것 같아요ㅠ..
Customer45 레몬아이스티 4       레몬이 너무 셔요ㅠㅠㅜ 근데 존맛탱
Customer70 초코듬뿍도넛 4       초코를 많이 얹으면 언제나 진리입니다.
Customer74 치킨버터샌드위치 4       오 생각보다 안 느끼하고 뭔가 맛있어요 대박 이건 대박
Customer80 생크림와플 4       와플 먹으러 멀리 갈 필요 없겠어요. 이쪽으로 오세요.
Customer84 피스타치오마카롱 4       아니 누가 이거 파스타치오라고 해서 주문하다가 창피했는데ㅡㅡ,, 맛있어서,,, 기분 풀림,,,
Customer85 치즈스틱 4       누가 여기다가 롯데리아 차렸냐
Customer32 크림잼도넛 4       아침대용으로 제격.
Customer19 아인슈페너 4       맛있네요.
Customer7 콜드브루 3       옆동네 ooo가 더 맛있음ㅋㅋ
Customer19 딸기버블라떼 3       딸기라떼에 버블이 들어간 맛이 궁금했는데, 궁금해하지 마세요.
Customer24 자두에이드 3       자두가 계절과일이라 그런지 저는 별로였어요...계절이 지나서 그런가... 다음에 먹어보고 후기 남길게요
Customer34 카푸치노 3       원래 아이스아메리카노만 먹는데, 카푸치노가 땡겨서 시켜먹어봤어요. 저는 역시 아아인가봐요.
Customer37 더블딸기라떼 3       더블이라 그런가 더 달달하네요. 음료는 잘 몰라서... 근데 너무 달아서 제 취향은 아니었어요.
Customer46 플레인베이글 3       너무 기본메뉴라 그런가 성에 안 차네요..
Customer57 리얼가나슈 3       가나슈치고 별로 안 달고 안 써요..
Customer61 흑임자카페라떼 3       어머님이 좋아하신다는 후기 보고 샀는데, 저희 엄마 취향은 아닌가봐요...제 입맛에도 영...
Customer64 치즈스틱 3       카페에서 파는 치즈스틱은 한계가 있는듯.
Customer68 망고생크림빙수 3       망고에 생크림을 얹으면,,,맛있을 것 같죠?
Customer89 커피마카롱 3       그냥 초코마카롱이 나을듯
Customer21 딸기버블라떼 3       아 이거 생각보단 맛있는데 별로에여..
Customer34 흑당버블라떼 3       흑당버블라떼랑 다른게 뭐지...?
Customer90 토피넛라떼 3       맛있는데 제 취향은 아님. 호불호 싸악 갈릴듯
Customer15 레몬에이드 2       레몬에이드가 너무 밍밍해요;
Customer27 체리콕 2       여러분 체리콕이 뭔지 모르시죠. 저도 몰랐어요. 그냥 몰라주세요..
Customer53 헤이즐넛아메리카노 2       이게 무슨 맛이죠?
Customer58 에그허니토스트 2       다른 후기는 엄청 맛있다는데,,,저는 별로,, 호불호 갈릴듯
Customer59 기본브라우니 2       기본은 딱 기본이네요. 비싸야 맛있나.
Customer11 청포도에이드 1       너무 화학적인 맛이 강한 느낌? 이라서 저는 별로에요..
Customer28 유자민트티 1       유자와 민트의 만남은, 최악입니다.
Customer43 키위스무디 1       키위가 아니라 키위가루 스무디 아님?
Customer48 생크림와플 1       그냥 와플에 생크림 얹어준 맛 그 이상 그 이하도 아님.
Customer62 블루베리생크림치즈프라푸치노 1       이름만 거창하지 그냥 블루베리에 치즈맛나는 오합지졸인 맛
Customer66 산딸기와플 1       이거 산딸기 아닌 거 같은데..
Customer77 제주그린티라떼 1       저 녹차 안 먹는데...친구가 강제로 시켜서 먹었어요... 자연에 간 기분
Customer82 초코칩쿠키 1       시중에서 파는 초코칩쿠키 맛이랑 똑같아요..
